r_um,r_inner_um,r_outer_um,n_cells_full,n_cells_facing,n_cells_away,I2_full_nM,I2_facing_nM,I2_away_nM,S2_free_full_nM,S2_free_facing_nM,S2_free_away_nM,Th2_full_nM,Th2_facing_nM,Th2_away_nM,S2_I2_full_nM,S2_I2_facing_nM,S2_I2_away_nM,S2_Th2_full_nM,S2_Th2_facing_nM,S2_Th2_away_nM,S2_total_full_nM,S2_total_facing_nM,S2_total_away_nM
20.5,20.0,21.0,19,11,8,0.0,0.0,0.0,17.807563392718905,17.799541876675217,17.817600206730347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.807563392718905,17.799541876675217,17.817600206730347
21.5,21.0,22.0,25,12,13,0.0,0.0,0.0,17.654470885887918,17.63639575861697,17.673404917010714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.654470885887918,17.63639575861697,17.673404917010714
22.5,22.0,23.0,25,12,13,0.0,0.0,0.0,17.494333099404944,17.45663221635474,17.523649764630488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.494333099404944,17.45663221635474,17.523649764630488
23.5,23.0,24.0,32,17,15,0.0,0.0,0.0,17.27296504650069,17.261933463312484,17.28580808127127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.27296504650069,17.261933463312484,17.28580808127127
24.5,24.0,25.0,38,19,19,0.0,0.0,0.0,17.093073771339764,17.06933731437764,17.115542462605656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.093073771339764,17.06933731437764,17.115542462605656
25.5,25.0,26.0,39,21,18,0.0,0.0,0.0,16.865216092288005,16.843649297511178,16.890187271795888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.865216092288005,16.843649297511178,16.890187271795888
26.5,26.0,27.0,43,21,22,0.0,0.0,0.0,16.64445445162018,16.613348656724106,16.673269868472538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.64445445162018,16.613348656724106,16.673269868472538
27.5,27.0,28.0,43,21,22,0.0,0.0,0.0,16.445886259361238,16.412563836146028,16.4787703547176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.445886259361238,16.412563836146028,16.4787703547176
28.5,28.0,29.0,48,23,25,0.0,0.0,0.0,16.207432187654234,16.1698847580427,16.242507219138187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.207432187654234,16.1698847580427,16.242507219138187
29.5,29.0,30.0,54,26,28,0.0,0.0,0.0,15.965216354851375,15.93128663269742,15.995795058216977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.965216354851375,15.93128663269742,15.995795058216977
30.5,30.0,31.0,57,28,29,0.0,0.0,0.0,15.730577975029227,15.710137991950665,15.752160018140401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.730577975029227,15.710137991950665,15.752160018140401
31.5,31.0,32.0,75,39,36,0.0,0.0,0.0,15.479107461415664,15.440421286027645,15.52066747186659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.479107461415664,15.440421286027645,15.52066747186659
32.5,32.0,33.0,97,45,52,0.0,0.0,0.0,15.205026849042353,15.164371946377926,15.242493541009337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.205026849042353,15.164371946377926,15.242493541009337
33.5,33.0,34.0,135,70,65,0.0,0.0,0.0,14.923606632960581,14.888583487692523,14.9634815436664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.923606632960581,14.888583487692523,14.9634815436664
34.5,34.0,35.0,135,66,69,0.0,0.0,0.0,14.603419916073113,14.555977841916127,14.648812096470863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.603419916073113,14.555977841916127,14.648812096470863
35.5,35.0,36.0,117,57,60,0.0,0.0,0.0,14.409442345954748,14.368904991644788,14.448461080858868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.409442345954748,14.368904991644788,14.448461080858868
36.5,36.0,37.0,223,113,110,0.0,0.0,0.0,14.007345931548164,13.965190503750012,14.050605632107711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.007345931548164,13.965190503750012,14.050605632107711
37.25,37.0,37.5,15,5,9,0.0,0.0,0.0,13.890304967517272,13.836842270264915,13.925384754334928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.890304967517272,13.836842270264915,13.925384754334928
