x,phi
224.625,0.012454640705107184
224.875,0.010682777033379937
225.125,0.009149276191986465
225.375,0.007824191718596819
225.625,0.006681022951192061
225.875,0.005696364162915675
226.125,0.004849583045057847
226.375,0.004122526964186269
226.625,0.00349925537531094
226.875,0.002965796753922925
227.125,0.0025099284122567255
227.375,0.0021209775858958713
227.625,0.0017896422128157146
227.875,0.0015078298753335125
228.125,0.0012685134336684414
228.375,0.0010656019456152068
228.625,0.0008938255381691981
228.875,0.0007486329720179068
229.125,0.0006261007170753329
229.375,0.0005228524353461488
229.625,0.00043598784523270147
229.875,0.00036302001799802086
230.125,0.0003018202317022746
230.375,0.0002505695799250699
230.625,0.00020771660149770395
230.875,0.0001719402629473369
231.125,0.00014211768715642509
231.375,0.00011729607971610614
231.625,9.666835853155438e-05
231.875,7.955204241734985e-05
232.125,6.537100075353105e-05
232.375,5.363970885478344e-05
232.625,4.394969266797598e-05
232.875,3.595788191577864e-05
233.125,2.9376623024829807e-05
233.375,2.3965132307721015e-05
233.625,1.952219610878399e-05
233.875,1.5879948177647754e-05
234.125,1.2898575604865074e-05
234.375,1.0461823440356188e-05
234.625,8.473184812012055e-06
234.875,6.852678154948942e-06
235.125,5.53412622900797e-06
235.375,4.4628631105504455e-06
235.625,3.593805451193906e-06
235.875,2.889833146694648e-06
236.125,2.320432288501664e-06
236.375,1.860560002452179e-06
236.625,1.4896966268650237e-06
236.875,1.1910557488707061e-06
237.125,9.509269963774714e-07
237.375,7.581302575662362e-07
