time_s,S2_M,I2_M,S2_tot_M
7080.0,1.384785799702738e-05,3.801332038408408e-164,1.4634539709709955e-05
7140.0,1.3897699407688978e-05,3.801332038408408e-164,1.4670471227612922e-05
7200.0,1.3946659536040253e-05,3.801332038408408e-164,1.4705767414158075e-05
7260.0,1.3994753964676083e-05,3.801332038408408e-164,1.4740439503102235e-05
7320.0,1.4041998000664126e-05,3.801332038408408e-164,1.4774498529569973e-05
7380.0,1.4088406680416625e-05,3.801332038408408e-164,1.4807955333565786e-05
7440.0,1.4133994774476055e-05,3.801332038408408e-164,1.484082056342415e-05
7500.0,1.4178776792216163e-05,3.801332038408408e-164,1.4873104679198576e-05
7560.0,1.4222766986459885e-05,3.801332038408408e-164,1.4904817955990742e-05
7620.0,1.4265979358015603e-05,3.801332038408408e-164,1.4935970487220766e-05
7680.0,1.4308427660133205e-05,3.801332038408408e-164,1.4966572187839651e-05
7740.0,1.435012540288134e-05,3.801332038408408e-164,1.4996632797484922e-05
7800.0,1.4391085857447288e-05,3.801332038408408e-164,1.5026161883580473e-05
7860.0,1.4431322060360791e-05,3.801332038408408e-164,1.5055168844381602e-05
7920.0,1.4470846817643211e-05,3.801332038408408e-164,1.5083662911966209e-05
7980.0,1.4509672708883311e-05,3.801332038408408e-164,1.5111653155173091e-05
8040.0,1.4547812091240974e-05,3.801332038408408e-164,1.5139148482488303e-05
8100.0,1.458527710338013e-05,3.801332038408408e-164,1.5166157644880452e-05
8160.0,1.462207966933215e-05,3.801332038408408e-164,1.5192689238585904e-05
8220.0,1.4658231502290912e-05,3.801332038408408e-164,1.5218751707844699e-05
8280.0,1.4693744108340777e-05,3.801332038408408e-164,1.5244353347588112e-05
8340.0,1.472862879011864e-05,3.801332038408408e-164,1.5269502306078695e-05
8400.0,1.4762896650411236e-05,3.801332038408408e-164,1.5294206587503627e-05
8460.0,1.4796558595688836e-05,3.801332038408408e-164,1.5318474054522225e-05
8520.0,1.4829625339576457e-05,3.801332038408408e-164,1.534231243076839e-05
8580.0,1.4862107406263709e-05,3.801332038408408e-164,1.536572930330883e-05
8640.0,1.4894015133854329e-05,3.801332038408408e-164,1.538873212505779e-05
8700.0,1.492535867765651e-05,3.801332038408408e-164,1.5411328217149103e-05
8760.0,1.4956148013415037e-05,3.801332038408408e-164,1.5433524771266307e-05
8820.0,1.4986392940486281e-05,3.801332038408408e-164,1.5455328851931536e-05
8880.0,1.5016103084957052e-05,3.801332038408408e-164,1.5476747398753966e-05
8940.0,1.5045287902708303e-05,3.801332038408408e-164,1.5497787228638472e-05
9000.0,1.5073956682424658e-05,3.801332038408408e-164,1.5518455037955276e-05
9060.0,1.5102118548550742e-05,3.801332038408408e-164,1.553875740467119e-05
9120.0,1.5129782464195225e-05,3.801332038408408e-164,1.5558700790443212e-05
9180.0,1.515695723398352e-05,3.801332038408408e-164,1.5578291542675058e-05
9240.0,1.518365150686004e-05,3.801332038408408e-164,1.5597535896537385e-05
9300.0,1.52098737788409e-05,3.801332038408408e-164,1.561643997695224e-05
9360.0,1.5235632395717975e-05,3.801332038408408e-164,1.5635009800542477e-05
9420.0,1.5260935555715102e-05,3.801332038408408e-164,1.5653251277546633e-05
9480.0,1.5285791312097347e-05,3.801332038408408e-164,1.567117021370003e-05
9540.0,1.5310207575734132e-05,3.801332038408408e-164,1.5688772312082545e-05
9600.0,1.5334192117617024e-05,3.801332038408408e-164,1.5706063174933738e-05
