Time (hours),I_1 (nM),S_1_free (nM),S_1_total (nM),I_2 (nM),S_2_free (nM),S_2_total (nM),I_3 (nM),S_3_free (nM),S_3_total (nM),I_4 (nM),S_4_free (nM),S_4_total (nM),I_5 (nM),S_5_free (nM),S_5_total (nM)
0.6666666666666666,100.0,,,96.07013297986062,0.9318471573186585,215.6618675674888,96.20208401429528,0.8716490338562357,210.77079844795495,96.21480005549637,0.869105205364276,210.3120081510574,96.27258712493786,0.8536131494800736,208.18863295688377
0.6833333333333333,100.0,,,95.86600329530864,0.9685103251233393,222.5935310098363,96.01392761845044,0.9023194742745521,217.3206087432432,96.02709255670916,0.8998149629643133,216.86490081015796,96.08826483890736,0.8836789461285233,214.70348917107466
0.7,100.0,,,95.65556779998296,1.0058145737270987,229.42482860504995,95.82088349785285,0.9332281213065842,223.76324931699583,95.83446805247402,0.930785817283886,223.31269780011667,95.89912371411603,0.9140052551331271,221.11805873371264
0.7166666666666667,100.0,,,95.43883773150333,1.0437086012720322,236.1419769447463,95.62303630883785,0.964316263773281,230.08680889731824,95.63700461672259,0.9619615535736415,229.6435289966279,95.7052377289879,0.9445380554610922,227.42060508672003
0.7333333333333333,100.0,,,95.21584317330797,1.0821357370359341,242.73183575580018,95.4204879630445,0.9955219631187296,236.28008221247342,95.4347970508413,0.9932828134395187,235.8462151574589,95.50669699208157,0.9752202776478359,233.60003825909288
0.75,100.0,,,94.98663402800291,1.1210340466881539,249.1820228687527,95.21335791127484,1.0267803732987615,242.33265470109978,95.22795717143069,1.0246873969906098,241.91035235399693,95.30360803303559,1.0059920856245932,239.6459981599636
0.7666666666666667,100.0,,,94.75128087660092,1.160336523316208,255.4810211350515,95.0017832895306,1.0580241210371084,248.2349776003121,95.016613966463,1.0561106226790271,247.82638708239756,95.09609396975421,1.0367912125559955,245.5489293053655
0.7833333333333333,100.0,,,94.50987569865005,1.1999713721526253,261.6182751960559,94.78591891466903,1.0891837459461013,253.97843210866927,94.80091360768239,1.0874857445448962,253.58568075800864,94.88429454033361,1.0675533505927481,251.30014569913374
0.8,100.0,,,94.26253242800156,1.2398623947897327,267.5842761764727,94.56593711869743,1.120188198041263,259.5553815532805,94.58101930854,1.1187444247247749,259.1805625198198,94.6683659895132,1.098212592764239,256.8918847914586
0.8166666666666667,100.0,,,94.00938731962529,1.279929475889137,273.37063260568107,94.34202741287052,1.1509653880466149,264.9592107531496,94.35711101894469,1.149817257062329,264.60436952498566,94.44848080122108,1.128701923397717,262.3173496714041
0.8333333333333334,100.0,,,93.75059910456342,1.3200891720264285,278.9701261587945,94.11439597545623,1.1814427836819719,270.1843520569492,94.1293849506346,1.1806343355596753,269.85147419012037,94.2248272710577,1.15895375152736,267.57073890608217
0.85,100.0,,,93.48634891289753,1.3602553984708965,284.3767511489192,93.88326496023963,1.2115480429545327,275.2262978342132,93.89805292998564,1.2111258593294205,274.91729812794273,93.99760891529495,1.18890047983849,272.6472637117862
0.8666666666666667,100.0,,,93.21683994850595,1.4003402055520924,289.5857370836022,93.64887162646315,1.2412096734685,280.0815995049023,93.66334157850122,1.2412227637667206,279.79831282584377,93.76704371609384,1.2184750998823604,277.54315242291614
0.8833333333333333,100.0,,,92.94229690435827,1.4402546320289773,294.5935540098505,93.41146729483502,1.270357705045498,284.74785349333126,93.42549132496289,1.2708573659792828,284.4920274073649,93.53336320607293,1.2476118027036494,282.25564250403744
0.9,100.0,,,92.66296511300393,1.4799096188115386,299.3979007989184,93.1713161383352,1.2989243616367685,289.22367477834115,93.18475525713224,1.2999640112066715,288.9969640985463,93.29681139897123,1.2762465927531443,286.78296061970343
0.9166666666666666,100.0,,,92.37910943355918,1.519216962767438,303.99767694817274,92.92869382064173,1.3268447177107192,293.5086589725625,92.94139782482335,1.3284797061319382,293.31262227911645,93.05764357680641,1.304317892106521,291.12429152676805
0.9333333333333333,100.0,,,92.09101288361303,1.5580902874514242,308.39293888573326,92.68388599891115,1.354057324093901,297.60333409082074,92.69569340994313,1.356344724715113,297.43943222485194,92.81612494747945,1.3317671216520528,295.2797367764917
0.95,100.0,,,91.79897503172981,1.5964460056667775,312.58484213742383,92.43718671119875,1.3805047886727604,301.50910335375943,92.4479247825549,1.3835031725056697,301.37869983479015,92.57252919006346,1.358539246093087,299.25026440160354
0.9666666666666667,100.0,,,91.50331017326835,1.6342042479912484,316.5755710392568,92.18889667182823,1.4061342984284635,305.2281805120744,92.19838146499605,1.4099034963253907,305.13254377968343,92.32713690788984,1.3845832703483347,303.03765091092504
0.9833333333333333,100.0,,,91.20434531870202,1.6712897318826783,320.3682579389482,91.93932150037357,1.4308980709368944,308.76351926598244,91.94735802843272,1.435498927721446,308.703826602566,92.08023401187305,1.4098526762031374,306.64441701731283
1.0,100.0,,,90.9024180291656,1.7076325477334227,323.9668940168518,91.68876991148777,1.4547537256374714,312.11873839265115,91.69515234785473,1.4602478505983214,312.096081347211,91.83211005819186,1.4343057898098024,310.0737585816887
1.0166666666666666,100.0,,,90.59787413828353,1.7431688411836417,327.3762339641962,91.43755189353703,1.4776645677419862,315.298044182604,91.44206384232906,1.484114085840451,315.3134352864897,91.58305656539288,1.4579060727655726,313.3294742670163
