x (μm),y (μm),S2 (μM),I2 (μM),Th2 (μM)
5002.45163973976,20.0,0.13464617427844724,0.0,0.0
5005.453319460901,20.0,0.13437498288338243,0.0,0.0
5008.454999182044,20.0,0.13410023570233173,0.0,0.0
5011.456678903185,20.0,0.13382198953641203,0.0,0.0
5014.458358624328,20.0,0.13354030149923163,0.0,0.0
5017.460038345469,20.0,0.1332552289874538,0.0,0.0
5020.461718066612,20.0,0.13296682965161777,0.0,0.0
5023.463397787753,20.0,0.13267516136724497,0.0,0.0
5026.465077508896,20.0,0.13238028220624717,0.0,0.0
5029.466757230037,20.0,0.13208225040866325,0.0,0.0
5032.46843695118,20.0,0.1317811243547391,0.0,0.0
5035.470116672321,20.0,0.1314769625373757,0.0,0.0
5038.471796393464,20.0,0.13116982353495793,0.0,0.0
5041.473476114605,20.0,0.13085976598458698,0.0,0.0
5044.4751558357475,20.0,0.13054684855572748,0.0,0.0
5047.476835556889,20.0,0.13023112992429067,0.0,0.0
5050.478515278031,20.0,0.12991266874716187,0.0,0.0
5053.480194999172,20.0,0.1295915236371926,0.0,0.0
5056.481874720315,20.0,0.12926775313866398,0.0,0.0
5059.483554441456,20.0,0.12894141570323875,0.0,0.0
5062.485234162599,20.0,0.12861256966640827,0.0,0.0
5065.48691388374,20.0,0.12828127322444924,0.0,0.0
5068.488593604883,20.0,0.1279475844118946,0.0,0.0
5071.490273326024,20.0,0.1276115610795328,0.0,0.0
5074.491953047167,20.0,0.1272732608729368,0.0,0.0
5077.493632768308,20.0,0.12693274121153647,0.0,0.0
5080.495312489451,20.0,0.1265900592682336,0.0,0.0
5083.496992210592,20.0,0.1262452719495719,0.0,0.0
5086.498671931735,20.0,0.12589843587645974,0.0,0.0
5089.500351652876,20.0,0.1255496073654562,0.0,0.0
5092.502031374019,20.0,0.12519884241061696,0.0,0.0
5095.50371109516,20.0,0.12484619666590963,0.0,0.0
5098.505390816303,20.0,0.12449172542819284,0.0,0.0
5101.507070537444,20.0,0.12413548362076797,0.0,0.0
5104.508750258587,20.0,0.1237775257774965,0.0,0.0
5107.510429979728,20.0,0.12341790602749042,0.0,0.0
5110.5121097008705,20.0,0.12305667808036802,0.0,0.0
5113.5137894220115,20.0,0.12269389521208039,0.0,0.0
5116.515469143154,20.0,0.1223296102513007,0.0,0.0
5119.517148864295,20.0,0.12196387556638046,0.0,0.0
5122.518828585438,20.0,0.1215967430528631,0.0,0.0
5125.520508306579,20.0,0.12122826412155886,0.0,0.0
5128.522188027722,20.0,0.12085848968717003,0.0,0.0
5131.523867748863,20.0,0.12048747015746951,0.0,0.0
5134.525547470006,20.0,0.12011525542302111,0.0,0.0
