time_s,I2_M,Th2_M,S2_M,S2_I2_M,S2_Th2_M
5400.0,2.7216844433125247e-08,4.9168958177072716e-08,9.504044325366216e-09,5.0646372067298146e-08,1.5077223907035304e-06
5460.0,2.6619448174886587e-08,4.855037979517142e-08,9.616287630888086e-09,5.1243688217382865e-08,1.5083375879015576e-06
5520.0,2.604764562485934e-08,4.796130156251652e-08,9.726325499167372e-09,5.181541479683246e-08,1.5089234528528692e-06
5580.0,2.5500631283554714e-08,4.73993296383987e-08,9.834233896442128e-09,5.23623569996467e-08,1.5094823662290503e-06
5640.0,2.4977583213961637e-08,4.686238687362272e-08,9.94008079445618e-09,5.2885336491343644e-08,1.5100163936740627e-06
5700.0,2.4477669600583718e-08,4.634865544738265e-08,1.0043927547062797e-08,5.338518484429325e-08,1.5105273428693883e-06
5760.0,2.4000054426387807e-08,4.58565314952766e-08,1.0145830016683282e-08,5.3862737856301826e-08,1.511016808671067e-06
5820.0,2.3543902377830872e-08,4.538458912873421e-08,1.0245839492185227e-08,5.431883064202757e-08,1.5114862089043487e-06
5880.0,2.3108383071346797e-08,4.493155179153059e-08,1.0344003434844491e-08,5.475429340364442e-08,1.5119368128593605e-06
5940.0,2.2692674680906965e-08,4.449626934164295e-08,1.0440366083874275e-08,5.516994780098318e-08,1.5123697640910087e-06
6000.0,2.229596703502681e-08,4.407769960119163e-08,1.0534968948009337e-08,5.5566603852654956e-08,1.5127860987738043e-06
6060.0,2.191746424242026e-08,4.3674893398055346e-08,1.0627851205084485e-08,5.594505730885992e-08,1.5131867605829258e-06
6120.0,2.155638689800267e-08,4.328698234325513e-08,1.071905002755613e-08,5.630608744410852e-08,1.5135726128535189e-06
6180.0,2.121197391477062e-08,4.291316876003037e-08,1.0808600848514162e-08,5.665045522427001e-08,1.5139444485992952e-06
6240.0,2.0883484021964224e-08,4.2552717313616334e-08,1.0896537579888051e-08,5.697890180750042e-08,1.5143029988391061e-06
6300.0,2.0570196965618984e-08,4.2204947993312823e-08,1.0982892792215976e-08,5.7292147342909614e-08,1.5146489395781149e-06
6360.0,2.0271414443962025e-08,4.1869230177217944e-08,1.106769786345e-08,5.759089003448786e-08,1.514982897711825e-06
6420.0,1.998646080696245e-08,4.154497757036243e-08,1.1150983102747619e-08,5.787580544096228e-08,1.5153054560611528e-06
6480.0,1.971468354660174e-08,4.1231643853172385e-08,1.1232777853985513e-08,5.8147545985002646e-08,1.5156171577007965e-06
6540.0,1.9455453602004418e-08,4.092871891253249e-08,1.1313110582768535e-08,5.840674064762445e-08,1.5159185097079826e-06
6600.0,1.9208165501401473e-08,4.063572555479802e-08,1.1392008949946176e-08,5.86539948258075e-08,1.5162099864317191e-06
6660.0,1.897223736094127e-08,4.035221662089277e-08,1.1469499874049025e-08,5.888989033330829e-08,1.516492032362032e-06
6720.0,1.8747110758581443e-08,4.007777243964451e-08,1.154560958458522e-08,5.911498552642668e-08,1.5167650646626942e-06
6780.0,1.8532250499662086e-08,3.981199856790371e-08,1.162036366776401e-08,5.9329815538121904e-08,1.5170294754186574e-06
6840.0,1.8327144289258643e-08,3.955452377563319e-08,1.1693787105918856e-08,5.953489260537599e-08,1.5172856336397705e-06
6900.0,1.8131302325023905e-08,3.9304998241707535e-08,1.1765904311668622e-08,5.973070647609137e-08,1.5175338870548914e-06
6960.0,1.7944256822943784e-08,3.9063091932114604e-08,1.1836739157669073e-08,5.991772488309622e-08,1.5177745637245431e-06
7020.0,1.7765561487239934e-08,3.8828493136982046e-08,1.1906315002657737e-08,6.009639407402147e-08,1.518007973495578e-06
7080.0,1.7594790934547957e-08,3.860090714664143e-08,1.1974654714374489e-08,6.026713938691954e-08,1.5182344093175394e-06
