x,phi
40.125,2.504341140724594e-44
40.375,3.424209225306079e-44
40.625,4.679916536620151e-44
40.875,6.3933258200942e-44
41.125,8.730244128161789e-44
41.375,1.1916169296686498e-43
41.625,1.625764262252748e-43
41.875,2.21711906944462e-43
42.125,3.022253606210743e-43
42.375,4.1179696313906406e-43
42.625,5.6084858449633916e-43
42.875,7.635162345998016e-43
43.125,1.0389651696041122e-42
43.375,1.413167599627749e-42
43.625,1.921304637561333e-42
43.875,2.611010224970972e-42
44.125,3.5467502009927115e-42
44.375,4.815731060137759e-42
44.625,6.535869139774792e-42
44.875,8.866533858902614e-42
45.125,1.2023024086534242e-41
45.375,1.6296066009563367e-41
45.625,2.2078062425319295e-41
45.875,2.989841520236439e-41
46.125,4.047103550179176e-41
46.375,5.475821802408119e-41
46.625,7.40564765312809e-41
46.875,1.001118389127251e-40
47.125,1.3527464209637886e-40
47.375,1.8270726472385134e-40
47.625,2.46662774558024e-40
47.875,3.3285852872089057e-40
48.125,4.489768546911644e-40
48.375,6.0533573251253485e-40
48.625,8.15786790082322e-40
48.875,1.0989171048415294e-39
49.125,1.4796568590364802e-39
49.375,1.9914289230681352e-39
49.625,2.6790217308458385e-39
49.875,3.6024270617053036e-39
50.125,4.841964460192745e-39
50.375,6.50512050824836e-39
50.625,8.735672624882967e-39
50.875,1.1725854907371604e-38
51.125,1.5732572833441565e-38
51.375,2.1099004374061236e-38
51.625,2.8283363608658645e-38
51.875,3.7897184160022935e-38
52.125,5.075624973506066e-38
52.375,6.794831858063268e-38
52.625,9.092313798704745e-38
52.875,1.2161202993805895e-37
53.125,1.6258668915210436e-37
53.375,2.1726995395363533e-37
53.625,2.9021543082441672e-37
53.875,3.874782939133689e-37
54.125,5.1710676071028825e-37
54.375,6.897932162030446e-37
54.625,9.19736445357129e-37
54.875,1.2257828905477287e-36
55.125,1.6329365280103424e-36
55.375,2.174355498053265e-36
55.625,2.8939911827839936e-36
55.875,3.8500748285551364e-36
56.125,5.119721762510435e-36
56.375,6.805008606468617e-36
56.625,9.040991001686057e-36
56.875,1.200627654206831e-35
57.125,1.593696075173893e-35
57.375,2.1144987262476482e-35
57.625,2.8042325440866205e-35
57.875,3.71727938724002e-35
58.125,4.925392804214433e-35
58.375,6.523203664336009e-35
58.625,8.635456717729819e-35
58.875,1.1426517825581458e-34
59.125,1.5112858499111134e-34
59.375,1.9979442449944345e-34
59.625,2.640122363553674e-34
59.875,3.4871337014113043e-34
60.125,4.60380482183694e-34
60.375,6.075316082204592e-34
60.625,8.013540425145744e-34
60.875,1.0565339940050588e-33
61.125,1.3923419755691185e-33
61.375,1.834052085301445e-33
61.625,2.4147970191696136e-33
61.875,3.17799144592607e-33
62.125,4.1804963937723845e-33
62.375,5.49674928381775e-33
62.625,7.224151743647912e-33
62.875,9.490094931895293e-33
63.125,1.246111573148183e-32
63.375,1.6354824488078553e-32
63.625,2.1455435878703029e-32
63.875,2.813398177045716e-32
64.125,3.687460505790986e-32
64.375,4.8308747712180457e-32
64.625,6.325958204379148e-32
64.875,8.279972678784954e-32
65.125,1.083261845387418e-31
65.375,1.4165759282356118e-31
65.625,1.8516037300796719e-31
65.875,2.4191228609730382e-31
66.125,3.1591438676463914e-31
